file,lat,lon,me
data\obs_vs_mod\horaire\lat_43.322_lon_3.352667_me_0.00.parquet,43.322,3.352667,0.0
data\obs_vs_mod\horaire\lat_43.328333_lon_3.565333_me_0.02.parquet,43.328333,3.565333,0.02
data\obs_vs_mod\horaire\lat_43.334333_lon_2.481_me_0.01.parquet,43.334333,2.481,0.01
data\obs_vs_mod\horaire\lat_43.334333_lon_3.155_me_0.01.parquet,43.334333,3.155,0.01
data\obs_vs_mod\horaire\lat_43.335_lon_-1.0205_me_-0.00.parquet,43.335,-1.0205,-0.0
data\obs_vs_mod\horaire\lat_43.342667_lon_5.728333_me_-0.01.parquet,43.342667,5.728333,-0.01
data\obs_vs_mod\horaire\lat_43.366667_lon_5.611667_me_0.00.parquet,43.366667,5.611667,0.0
data\obs_vs_mod\horaire\lat_43.3755_lon_0.045833_me_-0.00.parquet,43.3755,0.045833,-0.0
data\obs_vs_mod\horaire\lat_43.383167_lon_6.386167_me_-0.01.parquet,43.383167,6.386167,-0.01
data\obs_vs_mod\horaire\lat_43.385667_lon_2.857667_me_-0.00.parquet,43.385667,2.857667,-0.0
data\obs_vs_mod\horaire\lat_43.385_lon_-0.416333_me_0.01.parquet,43.385,-0.416333,0.01
data\obs_vs_mod\horaire\lat_43.386667_lon_-0.945_me_-0.03.parquet,43.386667,-0.945,-0.03
data\obs_vs_mod\horaire\lat_43.386667_lon_5.601_me_-0.00.parquet,43.386667,5.601,-0.0
data\obs_vs_mod\horaire\lat_43.386667_lon_6.525_me_-0.02.parquet,43.386667,6.525,-0.02
data\obs_vs_mod\horaire\lat_43.3895_lon_2.022167_me_-0.00.parquet,43.3895,2.022167,-0.0
data\obs_vs_mod\horaire\lat_43.3945_lon_-1.6865_me_-0.01.parquet,43.3945,-1.6865,-0.01
data\obs_vs_mod\horaire\lat_43.397333_lon_3.692167_me_0.00.parquet,43.397333,3.692167,0.0
data\obs_vs_mod\horaire\lat_43.405_lon_6.566667_me_-0.00.parquet,43.405,6.566667,-0.0
data\obs_vs_mod\horaire\lat_43.406667_lon_1.703333_me_0.01.parquet,43.406667,1.703333,0.01
data\obs_vs_mod\horaire\lat_43.4085_lon_2.292333_me_-0.00.parquet,43.4085,2.292333,-0.0
data\obs_vs_mod\horaire\lat_43.416667_lon_1.183333_me_-0.01.parquet,43.416667,1.183333,-0.01
data\obs_vs_mod\horaire\lat_43.418333_lon_-0.66_me_0.00.parquet,43.418333,-0.66,0.0
data\obs_vs_mod\horaire\lat_43.4185_lon_5.499667_me_-0.01.parquet,43.4185,5.499667,-0.01
data\obs_vs_mod\horaire\lat_43.4235_lon_6.738_me_-0.00.parquet,43.4235,6.738,-0.0
data\obs_vs_mod\horaire\lat_43.428833_lon_6.7015_me_-0.01.parquet,43.428833,6.7015,-0.01
data\obs_vs_mod\horaire\lat_43.432167_lon_5.0025_me_0.00.parquet,43.432167,5.0025,0.0
data\obs_vs_mod\horaire\lat_43.436667_lon_0.573333_me_0.01.parquet,43.436667,0.573333,0.01
data\obs_vs_mod\horaire\lat_43.437667_lon_3.400333_me_0.00.parquet,43.437667,3.400333,0.0
data\obs_vs_mod\horaire\lat_43.437667_lon_5.216_me_0.00.parquet,43.437667,5.216,0.0
data\obs_vs_mod\horaire\lat_43.441667_lon_1.881167_me_0.01.parquet,43.441667,1.881167,0.01
data\obs_vs_mod\horaire\lat_43.445333_lon_5.698667_me_0.00.parquet,43.445333,5.698667,0.0
data\obs_vs_mod\horaire\lat_43.445_lon_-0.258333_me_0.01.parquet,43.445,-0.258333,0.01
data\obs_vs_mod\horaire\lat_43.4515_lon_1.262_me_0.00.parquet,43.4515,1.262,0.0
data\obs_vs_mod\horaire\lat_43.451667_lon_5.881667_me_-0.00.parquet,43.451667,5.881667,-0.0
data\obs_vs_mod\horaire\lat_43.451_lon_6.470833_me_-0.01.parquet,43.451,6.470833,-0.01
data\obs_vs_mod\horaire\lat_43.469333_lon_-1.534333_me_-0.02.parquet,43.469333,-1.534333,-0.02
data\obs_vs_mod\horaire\lat_43.469667_lon_6.127_me_-0.01.parquet,43.469667,6.127,-0.01
data\obs_vs_mod\horaire\lat_43.476_lon_3.146_me_0.01.parquet,43.476,3.146,0.01
data\obs_vs_mod\horaire\lat_43.4775_lon_5.847833_me_-0.00.parquet,43.4775,5.847833,-0.0
data\obs_vs_mod\horaire\lat_43.478333_lon_2.657833_me_0.03.parquet,43.478333,2.657833,0.03
data\obs_vs_mod\horaire\lat_43.480667_lon_5.851167_me_0.00.parquet,43.480667,5.851167,0.0
data\obs_vs_mod\horaire\lat_43.485_lon_-1.566667_me_0.03.parquet,43.485,-1.566667,0.03
data\obs_vs_mod\horaire\lat_43.486667_lon_5.526667_me_-0.01.parquet,43.486667,5.526667,-0.01
data\obs_vs_mod\horaire\lat_43.490833_lon_2.963_me_0.01.parquet,43.490833,2.963,0.01
data\obs_vs_mod\horaire\lat_43.491333_lon_2.139667_me_0.00.parquet,43.491333,2.139667,0.0
data\obs_vs_mod\horaire\lat_43.491667_lon_3.321333_me_0.02.parquet,43.491667,3.321333,0.02
data\obs_vs_mod\horaire\lat_43.495_lon_2.695333_me_0.01.parquet,43.495,2.695333,0.01
data\obs_vs_mod\horaire\lat_43.496_lon_4.137167_me_0.01.parquet,43.496,4.137167,0.01
data\obs_vs_mod\horaire\lat_43.501333_lon_-0.755_me_-0.01.parquet,43.501333,-0.755,-0.01
data\obs_vs_mod\horaire\lat_43.504667_lon_5.365667_me_-0.01.parquet,43.504667,5.365667,-0.01
data\obs_vs_mod\horaire\lat_43.51_lon_4.693833_me_-0.00.parquet,43.51,4.693833,-0.0
data\obs_vs_mod\horaire\lat_43.521333_lon_6.252167_me_-0.01.parquet,43.521333,6.252167,-0.01
data\obs_vs_mod\horaire\lat_43.522667_lon_4.9275_me_0.00.parquet,43.522667,4.9275,0.0
data\obs_vs_mod\horaire\lat_43.523333_lon_0.04_me_0.02.parquet,43.523333,0.04,0.02
data\obs_vs_mod\horaire\lat_43.523667_lon_6.898667_me_-0.01.parquet,43.523667,6.898667,-0.01
data\obs_vs_mod\horaire\lat_43.526167_lon_6.453333_me_-0.01.parquet,43.526167,6.453333,-0.01
data\obs_vs_mod\horaire\lat_43.528833_lon_1.503667_me_0.00.parquet,43.528833,1.503667,0.0
data\obs_vs_mod\horaire\lat_43.5295_lon_5.4245_me_-0.00.parquet,43.5295,5.4245,-0.0
data\obs_vs_mod\horaire\lat_43.537167_lon_4.207_me_0.01.parquet,43.537167,4.207,0.01
data\obs_vs_mod\horaire\lat_43.540333_lon_1.372667_me_0.00.parquet,43.540333,1.372667,0.0
data\obs_vs_mod\horaire\lat_43.5475_lon_0.887833_me_0.01.parquet,43.5475,0.887833,0.01
data\obs_vs_mod\horaire\lat_43.548333_lon_5.2_me_0.01.parquet,43.548333,5.2,0.01
data\obs_vs_mod\horaire\lat_43.551_lon_5.68_me_-0.00.parquet,43.551,5.68,-0.0
data\obs_vs_mod\horaire\lat_43.5565_lon_4.082_me_0.01.parquet,43.5565,4.082,0.01
data\obs_vs_mod\horaire\lat_43.5565_lon_6.9505_me_-0.01.parquet,43.5565,6.9505,-0.01
data\obs_vs_mod\horaire\lat_43.562667_lon_6.897_me_0.01.parquet,43.562667,6.897,0.01
data\obs_vs_mod\horaire\lat_43.563333_lon_6.853333_me_-0.00.parquet,43.563333,6.853333,-0.0
data\obs_vs_mod\horaire\lat_43.565_lon_6.511667_me_-0.00.parquet,43.565,6.511667,-0.0
data\obs_vs_mod\horaire\lat_43.570833_lon_-1.299333_me_-0.01.parquet,43.570833,-1.299333,-0.01
data\obs_vs_mod\horaire\lat_43.576167_lon_3.964667_me_-0.00.parquet,43.576167,3.964667,-0.0
data\obs_vs_mod\horaire\lat_43.580167_lon_6.622167_me_-0.00.parquet,43.580167,6.622167,-0.0
data\obs_vs_mod\horaire\lat_43.584167_lon_3.108333_me_-0.01.parquet,43.584167,3.108333,-0.01
data\obs_vs_mod\horaire\lat_43.591333_lon_5.251333_me_0.00.parquet,43.591333,5.251333,0.0
data\obs_vs_mod\horaire\lat_43.596667_lon_4.851667_me_0.01.parquet,43.596667,4.851667,0.01
data\obs_vs_mod\horaire\lat_43.599167_lon_7.111167_me_-0.01.parquet,43.599167,7.111167,-0.01
data\obs_vs_mod\horaire\lat_43.602667_lon_6.936667_me_-0.01.parquet,43.602667,6.936667,-0.01
data\obs_vs_mod\horaire\lat_43.606667_lon_-0.096667_me_0.02.parquet,43.606667,-0.096667,0.02
data\obs_vs_mod\horaire\lat_43.611833_lon_6.951167_me_-0.00.parquet,43.611833,6.951167,-0.0
data\obs_vs_mod\horaire\lat_43.612667_lon_6.724167_me_0.01.parquet,43.612667,6.724167,0.01
data\obs_vs_mod\horaire\lat_43.612833_lon_5.108_me_0.00.parquet,43.612833,5.108,0.0
data\obs_vs_mod\horaire\lat_43.616667_lon_0.222_me_0.01.parquet,43.616667,0.222,0.01
data\obs_vs_mod\horaire\lat_43.618333_lon_3.858333_me_-0.03.parquet,43.618333,3.858333,-0.03
data\obs_vs_mod\horaire\lat_43.621833_lon_6.564667_me_0.01.parquet,43.621833,6.564667,0.01
data\obs_vs_mod\horaire\lat_43.621_lon_1.378833_me_0.00.parquet,43.621,1.378833,0.0
data\obs_vs_mod\horaire\lat_43.622333_lon_2.865333_me_0.02.parquet,43.622333,2.865333,0.02
data\obs_vs_mod\horaire\lat_43.623167_lon_7.0285_me_-0.00.parquet,43.623167,7.0285,-0.0
data\obs_vs_mod\horaire\lat_43.623333_lon_5.586667_me_-0.00.parquet,43.623333,5.586667,-0.0
data\obs_vs_mod\horaire\lat_43.625_lon_0.986667_me_0.04.parquet,43.625,0.986667,0.04
data\obs_vs_mod\horaire\lat_43.627333_lon_-1.453333_me_0.00.parquet,43.627333,-1.453333,0.0
data\obs_vs_mod\horaire\lat_43.633333_lon_2.8255_me_0.01.parquet,43.633333,2.8255,0.01
data\obs_vs_mod\horaire\lat_43.633833_lon_4.168_me_-0.00.parquet,43.633833,4.168,-0.0
data\obs_vs_mod\horaire\lat_43.639667_lon_-0.435167_me_0.01.parquet,43.639667,-0.435167,0.01
data\obs_vs_mod\horaire\lat_43.639833_lon_3.146_me_-0.00.parquet,43.639833,3.146,-0.0
data\obs_vs_mod\horaire\lat_43.639_lon_5.4435_me_-0.00.parquet,43.639,5.4435,-0.0
