lat,lon,altitude
42.002,9.1171,1542.6
42.0008,9.1472,1741.9
41.9995,9.1773,1219.4
41.9983,9.2075,1567.2
41.9971,9.2376,1400.1
41.9958,9.2677,754.5
41.9945,9.2978,379.8
41.9933,9.328,264.3
41.992,9.3581,113.4
41.9907,9.3882,18.8
41.9894,9.4183,1.7
42.0384,8.7569,103.6
42.0373,8.7871,294.1
42.0362,8.8173,517.3
42.035,8.8474,563.9
42.0339,8.8776,556.7
42.0327,8.9077,287.9
42.0316,8.9379,491.3
42.0304,8.968,793.1
42.0292,8.9982,1061.5
42.028,9.0283,1063.4
42.0268,9.0584,1150.8
42.0256,9.0886,1530.7
42.0244,9.1187,1543.3
42.0232,9.1489,1736.5
42.0219,9.179,1400.4
42.0207,9.2091,1556.9
42.0194,9.2393,1277.0
42.0182,9.2694,760.2
42.0169,9.2996,408.2
42.0156,9.3297,336.1
42.0144,9.3598,60.6
42.0131,9.39,14.9
42.0118,9.4201,6.4
42.0105,9.4502,7.6
42.0608,8.7585,107.8
42.0597,8.7886,173.4
42.0586,8.8188,312.1
42.0574,8.8489,729.4
42.0563,8.8791,928.0
42.0551,8.9093,445.7
42.054,8.9394,372.4
42.0528,8.9696,378.3
42.0516,8.9998,713.0
42.0504,9.0299,1017.5
42.0492,9.0601,1294.3
42.048,9.0902,1732.8
42.0468,9.1204,1963.7
42.0456,9.1505,1894.9
42.0443,9.1807,1282.9
42.0431,9.2108,1237.1
42.0418,9.241,1395.5
42.0406,9.2711,845.7
42.0393,9.3013,367.7
42.038,9.3314,158.6
42.0368,9.3616,40.0
42.0355,9.3917,31.5
42.0342,9.4218,23.9
42.0329,9.452,20.5
42.0843,8.7298,28.4
42.0832,8.76,107.5
42.0821,8.7901,317.1
42.081,8.8203,587.8
42.0798,8.8505,494.8
42.0787,8.8807,526.3
42.0775,8.9108,707.7
42.0763,8.941,676.3
42.0752,8.9712,481.3
42.074,9.0014,425.0
42.0728,9.0315,571.5
42.0716,9.0617,920.2
42.0704,9.0919,1521.6
42.0692,9.122,1832.4
42.068,9.1522,1648.9
42.0667,9.1823,995.8
