NUM_POSTE,lat,lon,altitude
12036001,44.778,2.689667,732
12037001,44.005,2.695,266
12039001,43.7495,2.938667,858
1204001,46.152833,5.717167,850
1204002,46.166667,5.706667,530
12044001,43.808333,2.9,390
12046001,44.18,2.378333,500
12048001,44.665,2.583333,239
12050001,44.2335,2.737167,860
12051001,44.834667,2.814,930
12052001,44.573333,2.078333,180
12057001,44.168333,2.53,550
12063001,44.005667,3.160667,790
12063003,43.987,3.181833,794
12065001,44.154667,2.425667,500
12068001,44.357833,2.317167,647
12076001,44.6,2.4,300
12076002,44.603333,2.405,545
12076003,44.603333,2.401667,520
12077002,43.922333,3.192167,718
12089001,44.558333,2.255,215
12089002,44.575167,2.2405,325
1209001,46.098333,5.881667,480
12092001,44.111833,2.6445,812
12094002,44.635833,2.559667,264
12096001,44.5095,2.768667,359
12099001,43.8,2.95,420
12100001,44.547667,2.311833,320
1210001,46.301667,5.941667,930
1210002,46.303333,5.943333,875
12102001,44.279333,2.606333,657
12103001,44.628333,2.631667,595
12110001,44.605,2.583333,250
12116001,44.713333,2.762,860
12117001,44.773333,2.885,1113
12117002,44.773333,2.879833,1120
12119001,44.682667,2.852833,1030
12120001,44.389167,2.828333,599
12121001,44.430667,2.171333,511
12145001,44.1185,3.0195,712
12145011,44.1,3.05,409
12148001,44.484,2.220167,400
12150001,44.265667,1.991667,268
12154002,43.877333,2.836167,345
12154003,43.891667,2.836333,374
12155001,43.888333,3.15,510
12156001,44.613333,2.805,868
1216001,45.733333,5.533333,225
12164001,44.833333,2.668333,800
12168002,44.013333,3.32,490
12174001,44.343167,2.526,590
12176001,44.39,2.538333,595
12179001,43.761833,2.867167,830
12180001,44.186667,3.206667,732
12185001,44.278333,2.73,700
12189001,44.242167,2.255833,564
12194001,44.239333,2.383,607
12194002,44.238333,2.383333,632
12197001,44.026,2.526333,550
12197002,44.072667,2.555833,600
12198001,44.33,2.25,685
12202001,44.35,2.566667,580
12202003,44.353333,2.57,608
12208001,43.9585,2.856167,365
12208004,43.966667,2.85,365
12212001,43.896833,3.109833,525
12213001,44.165,2.943333,800
12214001,44.59,2.92,1350
12214002,44.631667,2.983333,1140
12214005,44.631333,2.985167,1393
12216001,44.514667,2.827833,380
12222001,43.845,2.976667,510
12223001,44.803333,2.761667,700
12224001,44.463667,2.967667,420
12225001,44.08,2.983333,360
12228001,43.981667,2.708333,250
12230001,44.048667,2.504667,517
1224001,45.8,5.233333,194
1224002,45.8065,5.238333,198
12247001,44.422167,3.021833,640
12248001,43.884167,2.611,341
12251001,44.041667,2.805,550
12253001,44.151833,2.866167,959
12253002,44.181667,2.785,810
12254001,44.410333,2.4825,578
12258001,44.241167,2.188333,550
12266001,44.291667,2.835,840
12266002,44.2895,2.820333,879
12270002,44.318333,3.067833,690
12271001,44.366667,2.856667,630
12286001,43.943333,2.836667,315
12294001,44.278333,2.95,980
12294002,44.277,2.949,920
12296001,44.071667,2.806667,295
12298001,44.530667,2.572,318
12300001,44.35,2.041667,250
12300002,44.35,2.033333,252
12300003,44.363333,1.998333,335
12300004,44.371833,2.023667,330
12301001,44.471333,2.032833,353
1231001,46.36,4.906667,210
1235001,46.0385,5.044333,280
1235002,46.046667,5.073333,273
1243001,46.047167,4.757667,175
1247002,46.366667,5.993333,1500
1247003,46.378833,6.019333,1002
1247004,46.378333,6.021667,1015
1247005,46.321667,5.951667,890
1250001,45.981667,4.801667,270
1255001,45.793333,5.47,220
1255002,45.794333,5.469333,336
1262001,45.925,5.025,195
1262003,45.9,5.016667,280
1262004,45.907667,5.017167,275
1267001,46.195,5.516667,450
1269001,46.148167,5.607333,483
1273001,46.083167,5.373833,291
1276001,45.816667,5.07,182
1283001,46.271667,5.661667,535
13001002,43.593333,5.413333,314
13001006,43.504667,5.365667,106
13001009,43.5295,5.4245,173
13001013,43.531333,5.442667,215
13004001,43.686667,4.611667,5
13004002,43.408333,4.72,1
13004003,43.51,4.693833,1
13004004,43.491667,4.723333,1
13004008,43.623333,4.528333,5
13004017,43.693333,4.568333,10
13005001,43.29,5.578333,131
13005003,43.307333,5.601167,130
13005004,43.291667,5.556667,105
13007001,43.37,5.631667,615
13010001,43.916667,4.743333,15
1301001,46.236667,5.11,201
13014001,43.471667,5.148333,1
13015001,43.451667,5.41,200
13019001,43.463833,5.334167,163
13021001,43.333333,5.151667,35
13022001,43.218333,5.533333,67
13022003,43.222167,5.503167,212
13024002,43.718333,5.245,140
13026001,43.393333,5.103333,47
13027001,43.883333,4.848333,30
13028001,43.174667,5.574167,316
13028002,43.176667,5.603333,40
13030001,43.274,5.700167,184
13030002,43.316667,5.708333,1025
13031001,43.376667,5.605,190
13031002,43.386667,5.601,201
13035001,43.688333,5.033333,89
13035002,43.726333,5.008,160
13036001,43.84,4.841667,23
13036003,43.847167,4.834833,17
13037001,43.548333,5.2,53
13039001,43.435,4.945,1
13041001,43.428333,5.47,283
13042001,43.288333,5.618333,130
13045001,43.851667,4.773333,15
13046001,43.431667,5.543333,318
13047001,43.522667,4.9275,23
13047002,43.513333,4.988333,44
13048001,43.687667,5.666167,237
13050001,43.668667,5.2865,260
13053001,43.731667,5.176667,113
13053002,43.715,5.206667,128
13053003,43.73,5.181667,114
13054001,43.437667,5.216,9
13055001,43.305667,5.394333,75
13055002,43.355,5.328333,35
13055003,43.198333,5.23,6
13055004,43.263333,5.29,63
13055005,43.309333,5.426167,137
13055006,43.3385,5.4045,121
13055008,43.288333,5.396667,81
13055010,43.305,5.395,1
13055011,43.263333,5.386667,5
13055013,43.295,5.351667,15
13055016,43.31,5.401667,10
13055020,43.323333,5.456667,143
13055025,43.255667,5.38,5
13055029,43.310667,5.479167,192
13056001,43.3255,5.053167,6
13056002,43.331667,5.053333,27
13056003,43.401667,5.053333,12
13056004,43.417167,5.042833,101
13059001,43.643333,5.531667,210
13059003,43.641667,5.513333,210
13060002,43.486667,5.526667,176
13062002,43.4185,5.499667,416
13063001,43.583333,5.0,30
13070001,43.278333,5.518333,77
13071001,43.408333,5.321667,80
13074001,43.645,5.583333,210
13074002,43.623333,5.586667,295
13074003,43.656667,5.607,217
13076001,43.808333,4.996667,65
13077001,43.432167,5.0025,18
13077002,43.408333,4.981667,4
13077003,43.397667,4.981833,2
13078001,43.471667,4.786667,2
13078002,43.388333,4.808333,12
13078004,43.393333,4.813333,1
13080001,43.639,5.4435,277
13082001,43.706667,5.358333,186
13082002,43.665,5.35,330
13085001,43.2515,5.625,354
13085002,43.251667,5.623333,276
13086001,43.366667,5.611667,175
13087001,43.478333,5.636667,235
13089001,43.828333,4.971667,54
13091001,43.591333,5.251333,198
13091002,43.6045,5.317667,249
13092001,43.5495,5.0395,10
13096001,43.457167,4.427833,2
13096002,43.448333,4.423333,1
13097001,43.638333,4.81,21
13097002,43.596667,4.851667,21
13097003,43.638333,4.81,12
13097004,43.628333,4.956667,50
13099002,43.686667,5.71,261
13100001,43.783333,4.831667,58
13100002,43.791167,4.835,49
13100003,43.788333,4.83,48
13103001,43.612833,5.108,58
13103002,43.643333,5.018333,65
13105001,43.743333,5.078333,100
13108001,43.811667,4.665,9
13108004,43.829833,4.640167,15
13110001,43.448333,5.685,249
13110002,43.451667,5.691667,240
13110003,43.445333,5.698667,264
13111002,43.551,5.68,565
13113002,43.6,5.481667,370
13113003,43.578333,5.473333,330
1350001,46.296,5.279667,243
1367001,46.383333,5.116667,189
1367002,46.403167,5.109833,189
1374001,46.101667,5.328333,380
1374002,46.118333,5.318833,265
1384001,45.931667,5.426667,285
1384003,45.950333,5.461,296
1391001,46.363833,5.346667,240
14020002,49.140333,-0.155,53
14047001,49.275,-0.703333,50
14047002,49.274833,-0.712333,60
14055001,49.275,0.091667,109
14055002,49.256167,0.090833,140
14066001,49.334,-0.430667,2
1407001,45.953333,5.824,285
1408001,46.248333,5.455,400
14096001,48.991167,-0.780833,240
14118001,49.183333,-0.36,40
14126001,49.1455,0.041833,125
14129001,48.953333,-0.93,160
14137001,49.18,-0.456167,67
1414001,45.916167,5.624667,878
